judge,signal,condition,threshold,n,n_accepted,n_escalated,accepted_share,slip_through,error_among_accepted,kappa_among_accepted,accepted_share_ci_low,accepted_share_ci_high,slip_through_ci_low,slip_through_ci_high,error_among_accepted_ci_low,error_among_accepted_ci_high
kev-8b,conf_kev_bpe_prob,clean,0.8,1836,1275,561,0.6944444444444444,0.37264150943396224,0.12392156862745098,0.7520322401169861,0.6448750842254997,0.7389476920361273,0.30020613107822414,0.44701216287678475,0.10137093646269303,0.1472493255577274
kev-8b,conf_kev_bpe_prob,clean,0.9,1836,1073,763,0.5844226579520697,0.2429245283018868,0.09599254426840634,0.8080084079597669,0.5319990550305725,0.633766778866464,0.18527275878262037,0.30244054878048776,0.07511325066146404,0.11891457951789337
kev-8b,conf_kev_bpe_prob,clean,0.95,1836,896,940,0.4880174291938998,0.17688679245283018,0.08370535714285714,0.8325325465021234,0.4346803238318045,0.5366265872471524,0.12745098039215685,0.23233356583740208,0.06188898086994079,0.10826522131458964
kev-8b,conf_kev_bpe_prob,verbose,0.8,1784,1005,779,0.5633408071748879,0.19866071428571427,0.08855721393034825,0.822948152282998,0.5178976055799281,0.6038526392961876,0.15010306553911207,0.24819637752784973,0.06605305709517592,0.11237501915205636
kev-8b,conf_kev_bpe_prob,verbose,0.9,1784,808,976,0.452914798206278,0.140625,0.07797029702970297,0.8441338934682231,0.406989399705835,0.4965616242622383,0.10482084783885617,0.17673532574437317,0.057713187562545946,0.1011019910109916
kev-8b,conf_kev_bpe_prob,verbose,0.95,1784,667,1117,0.37387892376681614,0.10267857142857142,0.06896551724137931,0.8621132862355965,0.3298901502198223,0.4177425647678426,0.07226041452903754,0.13497347040291824,0.047550833958021,0.09343005900166801
auto-j-13b,conf_sc_autoj,clean,0.8,1797,1278,519,0.7111853088480802,0.45232273838630804,0.14475743348982786,0.7103858337355242,0.666661816065192,0.7524537938541049,0.38441646242109734,0.5217391304347826,0.12030540648699714,0.1706735607890499
auto-j-13b,conf_sc_autoj,clean,0.9,1797,1278,519,0.7111853088480802,0.45232273838630804,0.14475743348982786,0.7103858337355242,0.666661816065192,0.7524537938541049,0.38441646242109734,0.5217391304347826,0.12030540648699714,0.1706735607890499
auto-j-13b,conf_sc_autoj,clean,0.95,1797,1278,519,0.7111853088480802,0.45232273838630804,0.14475743348982786,0.7103858337355242,0.666661816065192,0.7524537938541049,0.38441646242109734,0.5217391304347826,0.12030540648699714,0.1706735607890499
auto-j-13b,conf_sc_bpe_autoj_prob,clean,0.8,1770,1487,283,0.8401129943502825,0.6473551637279596,0.17283120376597175,0.6543727621581682,0.8079978945276948,0.8699512937531576,0.5847218264287156,0.7135805465659835,0.1476120957907856,0.19802798636719776
auto-j-13b,conf_sc_bpe_autoj_prob,clean,0.9,1770,1392,378,0.7864406779661017,0.5491183879093199,0.15660919540229884,0.6867900146357875,0.749275595091442,0.8204719909735051,0.487921239622907,0.6153897849462365,0.13324056086869895,0.17997231566263547
auto-j-13b,conf_sc_bpe_autoj_prob,clean,0.95,1770,1262,508,0.7129943502824859,0.4357682619647355,0.13708399366085577,0.7258691912660246,0.6695797883514522,0.7524256860939944,0.37435251798561153,0.5,0.11419365642237983,0.16117884052943693
auto-j-13b,conf_sc_bpe_autoj_greedy_prob,clean,0.8,1770,1537,233,0.868361581920904,0.7229219143576826,0.1867273910214704,0.6265883701381758,0.8384166971558724,0.8966287646665767,0.669283996843052,0.7803293282587784,0.16071267405879322,0.21226543684267854
auto-j-13b,conf_sc_bpe_autoj_greedy_prob,clean,0.9,1770,1537,233,0.868361581920904,0.7229219143576826,0.1867273910214704,0.6265883701381758,0.8384166971558724,0.8966287646665767,0.669283996843052,0.7803293282587784,0.16071267405879322,0.21226543684267854
auto-j-13b,conf_sc_bpe_autoj_greedy_prob,clean,0.95,1770,1537,233,0.868361581920904,0.7229219143576826,0.1867273910214704,0.6265883701381758,0.8384166971558724,0.8966287646665767,0.669283996843052,0.7803293282587784,0.16071267405879322,0.21226543684267854
auto-j-13b,conf_sc_bpe_autoj_greedy_prob,verbose,0.8,1174,883,291,0.752129471890971,0.5152439024390244,0.1913929784824462,0.6173892308915115,0.7068510893885487,0.7971940544098287,0.43098170785720613,0.5993543046357614,0.1546747585246597,0.23183448818123736
auto-j-13b,conf_sc_bpe_autoj_greedy_prob,verbose,0.9,1174,883,291,0.752129471890971,0.5152439024390244,0.1913929784824462,0.6173892308915115,0.7068510893885487,0.7971940544098287,0.43098170785720613,0.5993543046357614,0.1546747585246597,0.23183448818123736
auto-j-13b,conf_sc_bpe_autoj_greedy_prob,verbose,0.95,1174,883,291,0.752129471890971,0.5152439024390244,0.1913929784824462,0.6173892308915115,0.7068510893885487,0.7971940544098287,0.43098170785720613,0.5993543046357614,0.1546747585246597,0.23183448818123736
