judge,signal,condition,threshold,n,n_accepted,n_escalated,accepted_share,slip_through,error_among_accepted,kappa_among_accepted
Qwen2.5-7B,conf_lp,clean,0.51,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.52,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.53,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.54,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.55,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.56,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.57,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.58,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.59,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.6,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.61,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.62,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.63,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.64,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.65,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.66,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
Qwen2.5-7B,conf_lp,clean,0.67,1836,1835,1,0.9994553376906318,0.9977578475336323,0.24250681198910082,0.5146901939575117
